customer_id,contract_id,invoice_date,renewal_date,product,amount,currency,region
CUST-001312,CTR-2019-002466,2019-01-01,2020-01-01,Core Platform - Starter,552.29,USD,North America
CUST-002003,CTR-2019-003752,2019-01-01,2019-02-01,Core Platform - Professional,132.14,EUR,EMEA
CUST-003198,CTR-2019-006010,2019-01-01,2021-01-01,Core Platform - Professional,82048.48,GBP,EMEA
CUST-003279,CTR-2019-006164,2019-01-01,2019-02-01,Core Platform - Enterprise,4990.73,AUD,APAC
CUST-003505,CTR-2019-006579,2019-01-01,2020-01-01,Core Platform - Enterprise,9501336,JPY,APAC
CUST-003505,CTR-2019-006582,2019-01-01,2019-02-01,Premium Support,107198,JPY,APAC
CUST-002283,CTR-2019-004277,2019-01-02,2019-02-02,Core Platform - Professional,193.44,USD,North America
CUST-000262,CTR-2019-000504,2019-01-03,2019-02-03,Core Platform - Starter,68.80,EUR,EMEA
CUST-001574,CTR-2019-002962,2019-01-03,2019-02-03,Core Platform - Professional,1768.46,CAD,North America
CUST-002437,CTR-2019-004555,2019-01-03,2020-01-03,Core Platform - Professional,1468.26,USD,North America
CUST-001257,CTR-2019-002363,2019-01-04,2020-01-04,Core Platform - Professional,43629.28,AUD,APAC
CUST-001257,CTR-2019-002366,2019-01-04,2020-01-04,Premium Support,11281.05,AUD,APAC
CUST-000844,CTR-2019-001599,2019-01-16,2020-01-16,Core Platform - Starter,6380.20,SEK,EMEA
CUST-002461,CTR-2019-004610,2019-01-16,2020-01-16,Core Platform - Starter,936.28,USD,North America
CUST-002396,CTR-2019-004479,2019-01-22,2020-01-22,Core Platform - Starter,213.25,CAD,North America
CUST-002396,CTR-2019-004480,2019-01-22,2019-02-22,API Gateway,271.18,CAD,North America
CUST-000433,CTR-2019-000842,2019-01-30,2020-01-30,Core Platform - Professional,2567.19,SGD,APAC
CUST-002061,CTR-2019-003859,2019-01-31,2020-01-31,Mobile Field App,9.97,EUR,EMEA
CUST-000390,CTR-2019-000761,2019-02-01,2019-03-01,Core Platform - Professional,440.00,GBP,EMEA
CUST-000726,CTR-2019-001381,2019-02-01,2020-02-01,Core Platform - Professional,375.54,EUR,EMEA
CUST-000730,CTR-2019-001390,2019-02-01,2020-02-01,Core Platform - Professional,142.47,EUR,EMEA
CUST-002003,CTR-2019-003752,2019-02-01,2019-03-01,Core Platform - Professional,128.17,EUR,EMEA
CUST-002061,CTR-2019-003858,2019-02-01,2019-03-01,Core Platform - Professional,174.79,EUR,EMEA
CUST-002583,CTR-2019-004859,2019-02-01,2020-02-01,Core Platform - Enterprise,4348.43,SGD,APAC
CUST-002590,CTR-2019-004870,2019-02-01,2019-03-01,Core Platform - Starter,85.65,CHF,EMEA
CUST-002672,CTR-2019-005035,2019-02-01,2019-03-01,Core Platform - Starter,78.73,USD,North America
CUST-002838,CTR-2019-005359,2019-02-01,2020-02-01,Core Platform - Professional,639.34,USD,North America
CUST-003279,CTR-2019-006164,2019-02-01,2019-03-01,Core Platform - Enterprise,4990.73,AUD,APAC
CUST-003505,CTR-2019-006582,2019-02-01,2019-03-01,Premium Support,105725,JPY,APAC
CUST-003640,CTR-2019-006842,2019-02-01,2020-02-01,Core Platform - Starter,280.85,AED,EMEA
CUST-000855,CTR-2019-001620,2019-02-02,2020-02-02,Core Platform - Enterprise,37765.02,USD,LATAM
CUST-000855,CTR-2019-001621,2019-02-02,2020-02-02,Sandbox Environment,1332.47,USD,LATAM
CUST-002283,CTR-2019-004277,2019-02-02,2019-03-02,Core Platform - Professional,193.44,USD,North America
CUST-000111,CTR-2019-000228,2019-02-03,2019-03-03,Core Platform - Professional,217.48,EUR,EMEA
CUST-000262,CTR-2019-000504,2019-02-03,2019-03-03,Core Platform - Starter,68.58,EUR,EMEA
CUST-001574,CTR-2019-002962,2019-02-03,2019-03-03,Core Platform - Professional,1768.46,CAD,North America
CUST-001795,CTR-2019-003375,2019-02-03,2020-02-03,Core Platform - Starter,13092.68,SEK,EMEA
CUST-002965,CTR-2019-005598,2019-02-03,2020-02-03,Core Platform - Starter,34966.38,INR,APAC
CUST-002965,CTR-2019-005599,2019-02-03,2020-02-03,API Gateway,154071.55,INR,APAC
CUST-001181,CTR-2019-002238,2019-02-04,2020-02-04,Core Platform - Starter,1078.62,NZD,APAC
CUST-000798,CTR-2019-001509,2019-02-09,2019-03-09,Core Platform - Starter,89.96,EUR,EMEA
CUST-000798,CTR-2019-001510,2019-02-09,2020-02-09,Data Warehouse Sync,1499.30,EUR,EMEA
CUST-003158,CTR-2019-005942,2019-02-09,2019-03-09,Core Platform - Starter,72.38,USD,North America
CUST-000802,CTR-2019-001516,2019-02-11,2019-03-11,Core Platform - Professional,583.54,GBP,EMEA
CUST-000802,CTR-2019-001517,2019-02-11,2019-03-11,Advanced Analytics,137.70,GBP,EMEA
CUST-000385,CTR-2019-000750,2019-02-14,2020-02-14,Core Platform - Professional,5514.09,USD,North America
CUST-000844,CTR-2019-001599,2019-02-16,2020-01-16,Core Platform - Starter,6380.20,SEK,EMEA
CUST-001235,CTR-2019-002326,2019-02-21,2020-02-21,Core Platform - Professional,26190.59,USD,North America
CUST-002396,CTR-2019-004479,2019-02-22,2020-01-22,Core Platform - Starter,208.00,CAD,North America
CUST-002396,CTR-2019-004480,2019-02-22,2019-03-22,API Gateway,271.18,CAD,North America
CUST-000717,CTR-2019-001368,2019-02-23,2019-03-23,Core Platform - Starter,410.80,SGD,APAC
CUST-002408,CTR-2019-004507,2019-02-26,2020-02-26,Core Platform - Enterprise,22554.09,USD,North America
CUST-000336,CTR-2019-000653,2019-02-27,2019-03-27,Core Platform - Starter,209.00,USD,North America
CUST-001783,CTR-2019-003349,2019-02-27,2020-02-27,Core Platform - Professional,7625.64,USD,North America
CUST-002061,CTR-2019-003859,2019-02-28,2020-01-31,Mobile Field App,9.97,EUR,EMEA
CUST-002272,CTR-2019-004256,2019-02-28,2020-02-28,Security & Compliance Suite,18926.24,GBP,EMEA
CUST-002994,CTR-2019-005650,2019-02-28,2020-02-28,Core Platform - Professional,7501.52,SGD,APAC
CUST-000043,CTR-2019-000097,2019-03-01,2021-03-01,Core Platform - Professional,14918.96,USD,North America
CUST-000162,CTR-2019-000316,2019-03-01,2020-03-01,Core Platform - Professional,5160.99,USD,North America
CUST-000213,CTR-2019-000415,2019-03-01,2020-03-01,Core Platform - Professional,19983.14,SEK,EMEA
CUST-000390,CTR-2019-000761,2019-03-01,2019-04-01,Core Platform - Professional,440.00,GBP,EMEA
CUST-000573,CTR-2019-001087,2019-03-01,2020-03-01,Core Platform - Professional,33802.40,NZD,APAC
CUST-000730,CTR-2019-001390,2019-03-01,2020-02-01,Core Platform - Professional,139.21,EUR,EMEA
CUST-001995,CTR-2019-003738,2019-03-01,2020-03-01,Core Platform - Enterprise,17082.81,USD,North America
CUST-002011,CTR-2019-003766,2019-03-01,2020-03-01,Core Platform - Starter,3029.68,MXN,LATAM
CUST-002061,CTR-2019-003858,2019-03-01,2019-04-01,Core Platform - Professional,174.79,EUR,EMEA
CUST-002126,CTR-2019-003986,2019-03-01,2019-04-01,Core Platform - Starter,51.71,EUR,EMEA
CUST-002204,CTR-2019-004129,2019-03-01,2020-03-01,Core Platform - Professional,9945.37,GBP,EMEA
CUST-002272,CTR-2019-004255,2019-03-01,2020-03-01,Core Platform - Enterprise,27056.66,GBP,EMEA
CUST-002272,CTR-2019-004257,2019-03-01,2021-03-01,Advanced Analytics,13249.10,GBP,EMEA
CUST-002583,CTR-2019-004859,2019-03-01,2020-02-01,Core Platform - Enterprise,4348.43,SGD,APAC
CUST-002672,CTR-2019-005035,2019-03-01,2019-04-01,Core Platform - Starter,76.00,USD,North America
CUST-002838,CTR-2019-005359,2019-03-01,2020-02-01,Core Platform - Professional,647.35,USD,North America
CUST-003117,CTR-2019-005865,2019-03-01,2019-04-01,Core Platform - Professional,183.70,USD,North America
CUST-003117,CTR-2019-005866,2019-03-01,2020-03-01,Workflow Automation,43.77,USD,North America
CUST-003161,CTR-2019-005950,2019-03-01,2020-03-01,Core Platform - Enterprise,17278.10,CAD,North America
CUST-003161,CTR-2019-005951,2019-03-01,2020-03-01,Premium Support,12437.76,CAD,North America
CUST-003279,CTR-2019-006164,2019-03-01,2019-04-01,Core Platform - Enterprise,5135.28,AUD,APAC
CUST-003505,CTR-2019-006582,2019-03-01,2019-04-01,Premium Support,108313,JPY,APAC
CUST-003579,CTR-2019-006733,2019-03-01,2021-03-01,Core Platform - Enterprise,236877.47,USD,North America
CUST-003599,CTR-2019-006772,2019-03-01,2019-04-01,Core Platform - Starter,470.61,USD,North America
CUST-003640,CTR-2019-006842,2019-03-01,2020-02-01,Core Platform - Starter,280.85,AED,EMEA
CUST-000573,CTR-2019-001089,2019-03-02,2020-03-02,Advanced Analytics,8803.15,NZD,APAC
CUST-002283,CTR-2019-004277,2019-03-02,2019-04-02,Core Platform - Professional,193.44,USD,North America
CUST-000111,CTR-2019-000228,2019-03-03,2019-04-03,Core Platform - Professional,215.80,EUR,EMEA
CUST-000262,CTR-2019-000504,2019-03-03,2019-04-03,Core Platform - Starter,68.80,EUR,EMEA
CUST-001574,CTR-2019-002962,2019-03-03,2019-04-03,Core Platform - Professional,1768.46,CAD,North America
CUST-001931,CTR-2019-003616,2019-03-03,2020-03-03,Core Platform - Professional,1413.12,USD,North America
CUST-003579,CTR-2019-006734,2019-03-03,2020-03-03,Advanced Analytics,4181.42,USD,North America
CUST-001181,CTR-2019-002238,2019-03-04,2020-02-04,Core Platform - Starter,1078.62,NZD,APAC
CUST-000691,CTR-2019-001312,2019-03-09,2020-03-09,Core Platform - Starter,517.69,USD,North America
CUST-000798,CTR-2019-001509,2019-03-09,2019-04-09,Core Platform - Starter,89.96,EUR,EMEA
CUST-001972,CTR-2019-003697,2019-03-09,2020-03-09,Core Platform - Starter,671.83,GBP,EMEA
CUST-003158,CTR-2019-005942,2019-03-09,2019-04-09,Core Platform - Starter,74.72,USD,North America
CUST-000665,CTR-2019-001265,2019-03-10,2020-03-10,Core Platform - Starter,147.09,SGD,APAC
CUST-000802,CTR-2019-001516,2019-03-11,2019-04-11,Core Platform - Professional,583.54,GBP,EMEA
CUST-000802,CTR-2019-001517,2019-03-11,2019-04-11,Advanced Analytics,137.70,GBP,EMEA
CUST-000385,CTR-2019-000750,2019-03-14,2020-02-14,Core Platform - Professional,5514.09,USD,North America
CUST-000844,CTR-2019-001599,2019-03-16,2020-01-16,Core Platform - Starter,6442.35,SEK,EMEA
CUST-002396,CTR-2019-004479,2019-03-22,2020-01-22,Core Platform - Starter,208.00,CAD,North America
CUST-002396,CTR-2019-004480,2019-03-22,2019-04-22,API Gateway,271.18,CAD,North America
CUST-000717,CTR-2019-001368,2019-03-23,2019-04-23,Core Platform - Starter,410.80,SGD,APAC
CUST-002313,CTR-2019-004322,2019-03-23,2020-03-23,Core Platform - Professional,3456.69,SEK,EMEA
CUST-000336,CTR-2019-000653,2019-03-27,2019-04-27,Core Platform - Starter,209.00,USD,North America
CUST-002513,CTR-2019-004712,2019-03-28,2022-03-28,Core Platform - Enterprise,437411.30,NZD,APAC
CUST-000198,CTR-2019-000387,2019-03-29,2020-03-29,Core Platform - Enterprise,6547.44,EUR,EMEA
CUST-000374,CTR-2019-000728,2019-03-30,2020-03-30,Core Platform - Enterprise,793443.94,ZAR,EMEA
CUST-001411,CTR-2019-002642,2019-03-31,2020-03-31,Core Platform - Professional,8508.69,USD,North America
CUST-002005,CTR-2019-003755,2019-03-31,2019-04-30,Core Platform - Starter,287.31,GBP,EMEA
CUST-002061,CTR-2019-003859,2019-03-31,2020-01-31,Mobile Field App,9.97,EUR,EMEA
CUST-000276,CTR-2019-000529,2019-04-01,2019-05-01,Core Platform - Starter,68.92,EUR,EMEA
CUST-000390,CTR-2019-000761,2019-04-01,2019-05-01,Core Platform - Professional,440.00,GBP,EMEA
CUST-000730,CTR-2019-001390,2019-04-01,2020-02-01,Core Platform - Professional,142.05,EUR,EMEA
CUST-000995,CTR-2019-001872,2019-04-01,2020-04-01,Core Platform - Starter,34.75,EUR,EMEA
CUST-001142,CTR-2019-002159,2019-04-01,2020-04-01,Core Platform - Starter,26593.11,INR,APAC
CUST-001443,CTR-2019-002710,2019-04-01,2020-04-01,Core Platform - Starter,199.09,AED,EMEA
CUST-001569,CTR-2019-002951,2019-04-01,2021-04-01,Core Platform - Professional,8362.30,USD,North America
CUST-001569,CTR-2019-002952,2019-04-01,2020-04-01,Advanced Analytics,1943.93,USD,North America
CUST-002061,CTR-2019-003858,2019-04-01,2019-05-01,Core Platform - Professional,174.79,EUR,EMEA
CUST-002126,CTR-2019-003986,2019-04-01,2019-05-01,Core Platform - Starter,51.16,EUR,EMEA
CUST-002151,CTR-2019-004024,2019-04-01,2019-05-01,API Gateway,561.38,USD,North America
CUST-002583,CTR-2019-004859,2019-04-01,2020-02-01,Core Platform - Enterprise,4348.43,SGD,APAC
CUST-002672,CTR-2019-005035,2019-04-01,2019-05-01,Core Platform - Starter,76.00,USD,North America
CUST-002837,CTR-2019-005357,2019-04-01,2020-04-01,Core Platform - Starter,78.43,AUD,APAC
CUST-002838,CTR-2019-005359,2019-04-01,2020-02-01,Core Platform - Professional,632.32,USD,North America
CUST-003058,CTR-2019-005755,2019-04-01,2020-04-01,Core Platform - Professional,139.44,USD,North America
CUST-003117,CTR-2019-005865,2019-04-01,2019-05-01,Core Platform - Professional,183.70,USD,North America
CUST-003117,CTR-2019-005866,2019-04-01,2020-03-01,Workflow Automation,42.75,USD,North America
CUST-003161,CTR-2019-005950,2019-04-01,2020-03-01,Core Platform - Enterprise,16974.47,CAD,North America
CUST-003279,CTR-2019-006164,2019-04-01,2019-05-01,Core Platform - Enterprise,5173.10,AUD,APAC
CUST-003326,CTR-2019-006239,2019-04-01,2022-04-01,Core Platform - Enterprise,1293538.27,EUR,EMEA
